name,rating,runtime,genre,votescore,metacritic,year,votes,gross,budget,director
The Grinch,PG,85 min,"Animation, Comedy, Family",6.3,51,(2018),"70,164",$270.62M,"$75,000,000 (estimated)",Yarrow Cheney
The Hunchback of Notre Dame,G,91 min,"Animation, Drama, Family",7.0,74,(1996),"157,900",$100.14M,"$100,000,000 (estimated)",Gary Trousdale
The Incredibles,PG,115 min,"Animation, Action, Adventure",8.0,90,(2004),"730,926",$261.44M,"$92,000,000 (estimated)",Brad Bird
The Iron Giant,PG,86 min,"Animation, Action, Adventure",8.1,85,(1999),"195,923",$23.16M,"$70,000,000 (estimated)",Brad Bird
The Jungle Book,G,78 min,"Animation, Adventure, Comedy",7.6,65,(1967),"182,971",$141.84M,"$4,000,000 (estimated)",Wolfgang Reitherman
The Land Before Time,G,69 min,"Animation, Adventure, Drama",7.4,66,(1988),"89,416",$48.09M,"$12,500,000 (estimated)",Don Bluth
The Last Unicorn,G,92 min,"Animation, Adventure, Drama",7.3,70,(1982),"27,069",$6.46M,"$3,500,000 (estimated)",Jules Bass
The Lego Batman Movie,PG,104 min,"Animation, Action, Adventure",7.3,75,(2017),"151,504",$175.75M,"$80,000,000 (estimated)",Chris McKay
The Lego Movie,PG,100 min,"Animation, Action, Adventure",7.7,83,(2014),"354,200",$257.76M,"$60,000,000 (estimated)",Phil Lord
The Lego Movie 2: The Second Part,PG,107 min,"Animation, Action, Adventure",6.6,65,(2019),"66,805",$105.81M,"$99,000,000 (estimated)",Mike Mitchell
The Lego Ninjago Movie,PG,101 min,"Animation, Action, Adventure",6.0,55,(2017),"26,507",$59.28M,"$70,000,000 (estimated)",William R. Mayberry
The Lion King,G,88 min,"Animation, Adventure, Drama",8.5,88,(1994),"1,047,820",$422.78M,"$45,000,000 (estimated)",Roger Allers
The Lion King,PG,118 min,"Animation, Adventure, Drama",6.8,55,(2019),"244,064",$543.64M,"$260,000,000 (estimated)",Jon Favreau
The Little Mermaid,G,83 min,"Animation, Adventure, Comedy",7.6,88,(1989),"262,686",$111.54M,"$40,000,000 (estimated)",Ron Clements
The Lorax,PG,86 min,"Animation, Adventure, Comedy",6.4,46,(2012),"113,474",$214.03M,"$70,000,000 (estimated)",Chris Renaud
The Lord of the Rings,PG,132 min,"Animation, Adventure, Fantasy",6.2,,(1978),"33,738",$0.92M,"$4,000,000 (estimated)",Ralph Bakshi
The Many Adventures of Winnie the Pooh,G,74 min,"Animation, Adventure, Comedy",7.5,,(1977),"36,720",,-1,John Lounsbery
The Mitchells vs the Machines,PG,114 min,"Animation, Adventure, Comedy",7.6,81,(2021),"107,249",,-1,Michael Rianda
The Nightmare Before Christmas,PG,76 min,"Animation, Family, Fantasy",7.9,82,(1993),"333,662",$75.08M,"$18,000,000 (estimated)",Henry Selick
The Nut Job,PG,85 min,"Animation, Adventure, Comedy",5.7,37,(I) (2014),"28,739",$64.25M,"$42,000,000 (estimated)",Peter Lepeniotis
The Peanuts Movie,G,88 min,"Animation, Adventure, Comedy",7.0,67,(2015),"46,349",$130.18M,"$99,000,000 (estimated)",Steve Martino
The Pirates! Band of Misfits,PG,88 min,"Animation, Adventure, Comedy",6.7,73,(2012),"48,658",$31.05M,"$55,000,000 (estimated)",Peter Lord
The Polar Express,G,100 min,"Animation, Adventure, Comedy",6.6,61,(2004),"206,469",$183.37M,"$165,000,000 (estimated)",Robert Zemeckis
The Prince of Egypt,PG,99 min,"Animation, Adventure, Drama",7.1,64,(1998),"132,569",$101.22M,"$70,000,000 (estimated)",Brenda Chapman
The Princess and the Frog,G,97 min,"Animation, Adventure, Comedy",7.1,73,(2009),"144,981",$104.40M,"$105,000,000 (estimated)",Ron Clements
The Rescuers,G,78 min,"Animation, Adventure, Comedy",6.9,74,(1977),"64,541",$71.22M,"$7,500,000 (estimated)",John Lounsbery
The Rescuers Down Under,G,77 min,"Animation, Adventure, Comedy",6.8,70,(1990),"43,338",$27.93M,"$30,000,000 (estimated)",Hendel Butoy
The Road to El Dorado,PG,89 min,"Animation, Adventure, Comedy",6.9,51,(2000),"96,832",$50.86M,"$95,000,000 (estimated)",Bibo Bergeron
The Sea Beast,PG,115 min,"Animation, Adventure, Comedy",7.1,74,(2022),"37,792",,-1,Chris Williams
The Secret Life of Pets,PG,87 min,"Animation, Adventure, Comedy",6.5,61,(2016),"202,264",$368.38M,"$75,000,000 (estimated)",Chris Renaud
The Secret Life of Pets 2,PG,86 min,"Animation, Adventure, Comedy",6.4,55,(2019),"62,336",$158.87M,"$80,000,000 (estimated)",Chris Renaud
The Secret of Kells,Not Rated,75 min,"Animation, Adventure, Family",7.6,81,(2009),"35,683",$0.69M,"$8,000,000 (estimated)",Tomm Moore
The Secret of NIMH,G,82 min,"Animation, Adventure, Drama",7.5,76,(1982),"41,606",$10.14M,"$7,000,000 (estimated)",Don Bluth
The Simpsons Movie,PG-13,87 min,"Animation, Adventure, Comedy",7.3,80,(2007),"330,276",$183.14M,"$75,000,000 (estimated)",David Silverman
The Smurfs,PG,103 min,"Animation, Adventure, Comedy",5.4,30,(2011),"90,800",$142.61M,"$110,000,000 (estimated)",Raja Gosnell
The Smurfs 2,PG,105 min,"Animation, Adventure, Comedy",5.3,34,(2013),"42,447",$71.02M,"$105,000,000 (estimated)",Raja Gosnell
The SpongeBob Movie: Sponge Out of Water,PG,92 min,"Animation, Adventure, Comedy",6.0,62,(2015),"55,822",$162.99M,"$74,000,000 (estimated)",Paul Tibbitt
The SpongeBob SquarePants Movie,PG,87 min,"Animation, Adventure, Comedy",7.1,66,(2004),"91,481",$85.42M,"$30,000,000 (estimated)",Stephen Hillenburg
The Swan Princess,G,90 min,"Animation, Adventure, Comedy",6.4,70,(1994),"25,208",$9.77M,"$45,000,000 (estimated)",Richard Rich
The Sword in the Stone,G,79 min,"Animation, Adventure, Comedy",7.1,61,(1963),"98,613",$22.18M,"$3,000,000 (estimated)",Wolfgang Reitherman
The Tale of Despereaux,G,93 min,"Animation, Adventure, Comedy",6.1,53,(2008),"38,345",$50.88M,"$60,000,000 (estimated)",Sam Fell
The Transformers: The Movie,PG,84 min,"Animation, Action, Adventure",7.2,43,(1986),"39,951",$5.85M,"$6,000,000 (estimated)",Nelson Shin
