name,rating,runtime,genre,votescore,metacritic,year,votes,gross,budget,director
FernGully: The Last Rainforest,G,76 min,"Animation, Adventure, Family",6.5,67,(1992),"30,798",$24.65M,"$24,000,000 (estimated)",Bill Kroyer
Final Fantasy: The Spirits Within,PG-13,106 min,"Animation, Action, Adventure",6.4,49,(2001),"82,341",$32.13M,"$137,000,000 (estimated)",Hironobu Sakaguchi
Finding Dory,PG,97 min,"Animation, Adventure, Comedy",7.3,77,(2016),"275,137",$486.30M,"$200,000,000 (estimated)",Andrew Stanton
Finding Nemo,G,100 min,"Animation, Adventure, Comedy",8.2,90,(2003),"1,036,239",$380.84M,"$94,000,000 (estimated)",Andrew Stanton
Flushed Away,PG,85 min,"Animation, Action, Adventure",6.6,74,(2006),"126,502",$64.67M,"$149,000,000 (estimated)",David Bowers
Frankenweenie,PG,87 min,"Animation, Comedy, Drama",6.9,74,(2012),"108,003",$35.29M,"$39,000,000 (estimated)",Tim Burton
Frozen,PG,102 min,"Animation, Adventure, Comedy",7.4,75,(I) (2013),"621,476",$400.74M,"$150,000,000 (estimated)",Chris Buck
Frozen II,PG,103 min,"Animation, Adventure, Comedy",6.8,64,(2019),"171,170",$477.37M,"$150,000,000 (estimated)",Chris Buck
G-Force,PG,88 min,"Animation, Action, Adventure",5.1,41,(2009),"46,926",$119.44M,"$150,000,000 (estimated)",Hoyt Yeatman
Ponyo,G,101 min,"Animation, Adventure, Comedy",7.6,86,(2008),"143,700",$15.09M,"$34,000,000 (estimated)",Hayao Miyazaki
Garfield,PG,80 min,"Animation, Adventure, Comedy",5.0,27,(2004),"87,122",$75.37M,"$50,000,000 (estimated)",Peter Hewitt
Garfield: A Tail of Two Kitties,PG,82 min,"Animation, Adventure, Comedy",5.0,37,(2006),"43,456",$28.43M,"$60,000,000 (estimated)",Tim Hill
Tales from Earthsea,PG-13,115 min,"Animation, Adventure, Fantasy",6.3,47,(2006),"40,126",$0.05M,"$48,658",Gorô Miyazaki
Pokémon: The First Movie - Mewtwo Strikes Back,G,96 min,"Animation, Action, Adventure",6.2,35,(1998),"43,335",$85.74M,"$30,000,000 (estimated)",Kunihiko Yuyama
Gnomeo & Juliet,G,84 min,"Animation, Adventure, Comedy",5.9,53,(2011),"56,269",$99.97M,"$36,000,000 (estimated)",Kelly Asbury
Happy Feet,PG,108 min,"Animation, Adventure, Comedy",6.4,77,(2006),"186,335",$198.00M,"$100,000,000 (estimated)",George Miller
Happy Feet Two,PG,100 min,"Animation, Adventure, Comedy",5.8,50,(2011),"45,143",$64.01M,"$135,000,000 (estimated)",George Miller
Howl's Moving Castle,PG,119 min,"Animation, Adventure, Family",8.2,80,(2004),"391,753",$4.71M,"$24,000,000 (estimated)",Hayao Miyazaki
Heavy Metal,R,86 min,"Animation, Adventure, Fantasy",6.6,51,(1981),"35,478",,"$9,300,000 (estimated)",Gerald Potterton
Pom Poko,PG,119 min,"Animation, Comedy, Drama",7.3,77,(1994),"30,284",,"$372,405",Isao Takahata
Hercules,G,93 min,"Animation, Adventure, Comedy",7.3,74,(1997),"231,030",$99.05M,"$85,000,000 (estimated)",Ron Clements
Home,PG,94 min,"Animation, Adventure, Comedy",6.6,55,(II) (2015),"102,974",$177.40M,"$135,000,000 (estimated)",Tim Johnson
Hoodwinked,PG,80 min,"Animation, Adventure, Comedy",6.5,45,(2005),"61,973",$51.39M,"$30,000,000 (estimated)",Cory Edwards
Hop,PG,95 min,"Animation, Adventure, Comedy",5.4,41,(2011),"34,653",$108.09M,"$63,000,000 (estimated)",Tim Hill
Horton Hears a Who!,G,86 min,"Animation, Adventure, Comedy",6.8,71,(2008),"141,033",$154.53M,"$85,000,000 (estimated)",Jimmy Hayward
Grave of the Fireflies,Not Rated,89 min,"Animation, Drama, War",8.5,94,(1988),"274,866",,"$3,700,000 (estimated)",Isao Takahata
Hotel Transylvania,PG,91 min,"Animation, Adventure, Comedy",7.0,47,(2012),"255,033",$148.31M,"$85,000,000 (estimated)",Genndy Tartakovsky
Hotel Transylvania 2,PG,89 min,"Animation, Adventure, Comedy",6.6,44,(2015),"127,618",$169.70M,"$80,000,000 (estimated)",Genndy Tartakovsky
Hotel Transylvania 3: Summer Vacation,PG,97 min,"Animation, Adventure, Comedy",6.3,54,(2018),"74,117",$167.51M,"$80,000,000 (estimated)",Genndy Tartakovsky
Hotel Transylvania 4: Transformania,PG,87 min,"Animation, Adventure, Comedy",6.0,46,(2022),"30,151",,-1,Derek Drymon
How to Train Your Dragon,PG,98 min,"Animation, Action, Adventure",8.1,75,(2010),"735,027",$217.58M,"$165,000,000 (estimated)",Dean DeBlois
How to Train Your Dragon 2,PG,102 min,"Animation, Action, Adventure",7.8,77,(2014),"334,697",$177.00M,"$145,000,000 (estimated)",Dean DeBlois
How to Train Your Dragon: The Hidden World,PG,104 min,"Animation, Action, Adventure",7.4,71,(2019),"128,411",$160.80M,"$129,000,000 (estimated)",Dean DeBlois
Ice Age,PG,81 min,"Animation, Adventure, Comedy",7.5,61,(2002),"481,287",$176.39M,"$59,000,000 (estimated)",Chris Wedge
Ice Age: Collision Course,PG,94 min,"Animation, Adventure, Comedy",5.6,34,(2016),"67,127",$64.06M,"$105,000,000 (estimated)",Michael Thurmeier
Ice Age: Continental Drift,PG,88 min,"Animation, Adventure, Comedy",6.5,49,(2012),"209,336",$161.32M,"$95,000,000 (estimated)",Steve Martino
Ice Age: Dawn of the Dinosaurs,PG,94 min,"Animation, Adventure, Comedy",6.9,50,(2009),"245,307",$196.57M,"$90,000,000 (estimated)",Carlos Saldanha
Ice Age: The Meltdown,PG,91 min,"Animation, Adventure, Comedy",6.8,60,(2006),"278,221",$195.33M,"$80,000,000 (estimated)",Carlos Saldanha
Incredibles 2,PG,118 min,"Animation, Action, Adventure",7.6,80,(2018),"294,942",$608.58M,"$200,000,000 (estimated)",Brad Bird
Ghost in the Shell 2: Innocence,PG-13,100 min,"Animation, Drama, Mystery",7.4,66,(2004),"38,571",$1.04M,"¥2,000,000,000 (estimated)",Mamoru Oshii
Inside Out,PG,95 min,"Animation, Adventure, Comedy",8.2,94,(I) (2015),"706,552",$356.46M,"$175,000,000 (estimated)",Pete Docter
Isle of Dogs,PG-13,101 min,"Animation, Adventure, Comedy",7.8,82,(2018),"168,069",$32.02M,"$32,015,231",Wes Anderson
I Lost My Body,TV-MA,81 min,"Animation, Drama, Fantasy",7.5,81,(2019),"33,038",,"$1,136,431",Jérémy Clapin
James and the Giant Peach,PG,79 min,"Animation, Adventure, Family",6.7,78,(1996),"67,805",$28.93M,"$38,000,000 (estimated)",Henry Selick
Jimmy Neutron: Boy Genius,G,82 min,"Animation, Action, Adventure",6.0,65,(2001),"34,952",$80.94M,"$30,000,000 (estimated)",John A. Davis
Ninja Scroll,Not Rated,94 min,"Animation, Action, Adventure",7.8,,(1993),"37,727",,"$1,073",Yoshiaki Kawajiri
The Tale of The Princess Kaguya,PG,137 min,"Animation, Drama, Family",8.0,89,(2013),"46,864",$1.51M,"¥5,000,000,000 (estimated)",Isao Takahata
The Secret World of Arrietty,G,94 min,"Animation, Adventure, Drama",7.6,80,(2010),"92,748",$19.20M,"$23,000,000 (estimated)",Hiromasa Yonebayashi
Nausicaä of the Valley of the Wind,PG,117 min,"Animation, Adventure, Sci-Fi",8.0,86,(1984),"169,143",$0.50M,"$1,000,000 (estimated)",Hayao Miyazaki
The Wind Rises,PG-13,126 min,"Animation, Biography, Drama",7.7,83,(2013),"86,019",$5.21M,"$30,000,000 (estimated)",Hayao Miyazaki
Demon Slayer the Movie: Mugen Train,R,117 min,"Animation, Action, Adventure",8.2,72,(2020),"56,800",$47.70M,"$49,505,008",Haruo Sotozaki
Your Name.,PG,106 min,"Animation, Drama, Fantasy",8.4,79,(2016),"263,844",$5.02M,"¥370,000,000 (estimated)",Makoto Shinkai
Klaus,PG,96 min,"Animation, Adventure, Comedy",8.1,65,(2019),"147,590",,"$40,000,000 (estimated)",Sergio Pablos
A Silent Voice: The Movie,Not Rated,130 min,"Animation, Drama",8.1,78,(2016),"80,625",,"$644,391",Naoko Yamada
From Up on Poppy Hill,PG,91 min,"Animation, Comedy, Drama",7.4,71,(2011),"44,410",$1.00M,"$22,000,000 (estimated)",Gorô Miyazaki
The Garden of Words,TV-14,46 min,"Animation, Drama, Romance",7.4,,(2013),"44,553",,"$438,995",Makoto Shinkai
Kubo and the Two Strings,PG,101 min,"Animation, Action, Adventure",7.7,84,(2016),"129,284",$48.02M,"$60,000,000 (estimated)",Travis Knight
Kung Fu Panda,PG,92 min,"Animation, Action, Adventure",7.6,74,(2008),"467,283",$215.43M,"$130,000,000 (estimated)",Mark Osborne
Kung Fu Panda 2,PG,90 min,"Animation, Action, Adventure",7.2,67,(2011),"284,353",$165.25M,"$150,000,000 (estimated)",Jennifer Yuh Nelson
Kung Fu Panda 3,PG,95 min,"Animation, Action, Adventure",7.1,66,(2016),"158,853",$143.53M,"$145,000,000 (estimated)",Alessandro Carloni
Porco Rosso,PG,94 min,"Animation, Adventure, Comedy",7.7,83,(1992),"89,854",,"$443,059",Hayao Miyazaki
Ghost in the Shell,TV-MA,83 min,"Animation, Action, Crime",7.9,76,(1995),"143,120",$0.52M,"¥330,000,000 (estimated)",Mamoru Oshii
The Illusionist,PG,80 min,"Animation, Drama, Fantasy",7.5,82,(2010),"35,367",$2.23M,"$17,000,000 (estimated)",Sylvain Chomet
Fantastic Planet,PG,72 min,"Animation, Sci-Fi",7.7,73,(1973),"31,643",$0.19M,"$193,817",René Laloux
The Red Turtle,PG,80 min,"Animation, Drama, Family",7.5,86,(2016),"35,310",$0.92M,"$921,974",Michael Dudok de Wit
Lady and the Tramp,G,76 min,"Animation, Adventure, Comedy",7.3,78,(1955),"136,043",$93.60M,"$4,000,000 (estimated)",Clyde Geronimi
The Little Prince,PG,108 min,"Animation, Adventure, Drama",7.7,70,(2015),"62,362",$1.34M,"$81,200,000 (estimated)",Mark Osborne
Legend of the Guardians: The Owls of Ga'Hoole,PG,97 min,"Animation, Action, Adventure",6.9,53,(2010),"83,801",$55.68M,"$80,000,000 (estimated)",Zack Snyder
The Triplets of Belleville,PG-13,80 min,"Animation, Comedy, Drama",7.7,91,(2003),"54,620",$7.00M,"$9,500,000 (estimated)",Sylvain Chomet
Lightyear,PG,100 min,"Animation, Action, Adventure",6.0,60,(2022),"97,068",,"$200,000,000 (estimated)",Angus MacLane
Lilo & Stitch,PG,85 min,"Animation, Adventure, Comedy",7.3,73,(2002),"190,723",$145.79M,"$80,000,000 (estimated)",Dean DeBlois
Looney Tunes: Back in Action,PG,91 min,"Animation, Adventure, Comedy",5.8,64,(2003),"37,877",$20.99M,"$80,000,000 (estimated)",Joe Dante
Loving Vincent,PG-13,94 min,"Animation, Biography, Crime",7.8,62,(2017),"58,124",$6.74M,"€5,000,000 (estimated)",Dorota Kobiela
Luca,PG,95 min,"Animation, Adventure, Comedy",7.4,71,(2021),"160,288",,"$49,750,471",Enrico Casarosa
My Life as a Zucchini,PG-13,70 min,"Animation, Comedy, Drama",7.7,85,(2016),"25,683",$0.29M,"€6,500,000 (estimated)",Claude Barras
Madagascar,PG,86 min,"Animation, Adventure, Comedy",6.9,57,(2005),"402,768",$193.60M,"$75,000,000 (estimated)",Eric Darnell
Madagascar 3: Europe's Most Wanted,PG,93 min,"Animation, Adventure, Comedy",6.8,60,(2012),"181,686",$216.39M,"$145,000,000 (estimated)",Eric Darnell
Madagascar: Escape 2 Africa,PG,89 min,"Animation, Adventure, Comedy",6.6,61,(2008),"227,615",$180.01M,"$150,000,000 (estimated)",Eric Darnell
Kiki's Delivery Service,G,103 min,"Animation, Adventure, Family",7.8,83,(1989),"144,413",,"¥800,000,000 (estimated)",Hayao Miyazaki
Mary Poppins Returns,PG,130 min,"Animation, Adventure, Comedy",6.7,66,(2018),"88,233",$171.96M,"$130,000,000 (estimated)",Rob Marshall
Mary and Max,Not Rated,92 min,"Animation, Comedy, Drama",8.1,,(2009),"177,225",,"A$8,240,000 (estimated)",Adam Elliot
Meet the Robinsons,G,95 min,"Animation, Adventure, Comedy",6.8,61,(2007),"100,653",$97.82M,"$150,000,000 (estimated)",Stephen J. Anderson
Megamind,PG,95 min,"Animation, Action, Comedy",7.3,63,(2010),"260,811",$148.42M,"$130,000,000 (estimated)",Tom McGrath
Whisper of the Heart,G,111 min,"Animation, Drama, Family",7.9,75,(1995),"62,787",,"$498,156",Yoshifumi Kondô
Minions,PG,91 min,"Animation, Adventure, Comedy",6.4,56,(2015),"238,720",$336.05M,"$74,000,000 (estimated)",Kyle Balda
Minions: The Rise of Gru,PG,87 min,"Animation, Adventure, Comedy",6.6,56,(2022),"57,321",,"$80,000,000 (estimated)",Kyle Balda
Missing Link,PG,93 min,"Animation, Adventure, Comedy",6.7,68,(2019),"26,143",$16.65M,"$100,000,000 (estimated)",Chris Butler
Moana,PG,107 min,"Animation, Adventure, Comedy",7.6,81,(I) (2016),"332,840",$248.76M,"$150,000,000 (estimated)",Ron Clements
Princess Mononoke,PG-13,134 min,"Animation, Action, Adventure",8.4,76,(1997),"391,727",$2.38M,"¥2,400,000,000 (estimated)",Hayao Miyazaki
Monster House,PG,91 min,"Animation, Comedy, Family",6.6,68,(2006),"120,025",$73.66M,"$75,000,000 (estimated)",Gil Kenan
Monsters University,G,104 min,"Animation, Adventure, Comedy",7.2,65,(2013),"358,656",$268.49M,"$200,000,000 (estimated)",Dan Scanlon
Monsters vs. Aliens,PG,94 min,"Animation, Action, Adventure",6.4,56,(2009),"162,613",$198.35M,"$175,000,000 (estimated)",Rob Letterman
"Monsters, Inc.",G,92 min,"Animation, Adventure, Comedy",8.1,79,(2001),"902,068",$289.92M,"$115,000,000 (estimated)",Pete Docter
Mr. Peabody & Sherman,PG,92 min,"Animation, Adventure, Comedy",6.8,59,(2014),"70,820",$111.51M,"$145,000,000 (estimated)",Rob Minkoff
Mulan,G,88 min,"Animation, Adventure, Comedy",7.6,71,(1998),"286,996",$120.62M,"$90,000,000 (estimated)",Tony Bancroft
The Cat Returns,G,75 min,"Animation, Adventure, Comedy",7.2,70,(2002),"57,050",,"$563,718",Hiroyuki Morita
Oliver & Company,G,74 min,"Animation, Adventure, Comedy",6.6,58,(1988),"48,900",$74.15M,"$31,000,000 (estimated)",George Scribner
Only Yesterday,PG,119 min,"Animation, Drama, Romance",7.6,90,(1991),"32,650",$0.45M,"$453,243",Isao Takahata
When Marnie Was There,PG,103 min,"Animation, Drama, Family",7.7,72,(2014),"40,847",$0.77M,"$561,085",Hiromasa Yonebayashi
One Hundred and One Dalmatians,G,79 min,"Animation, Adventure, Comedy",7.3,83,(1961),"168,178",$144.88M,"$4,000,000 (estimated)",Clyde Geronimi
Onward,PG,102 min,"Animation, Adventure, Comedy",7.4,61,(I) (2020),"148,156",$61.56M,"$175,000,000 (estimated)",Dan Scanlon
Open Season,PG,86 min,"Animation, Adventure, Comedy",6.1,49,(2006),"96,841",$85.11M,"$85,000,000 (estimated)",Roger Allers
Osmosis Jones,PG,95 min,"Animation, Action, Adventure",6.3,57,(2001),"36,366",$13.60M,"$70,000,000 (estimated)",Bobby Farrelly
Over the Hedge,PG,83 min,"Animation, Adventure, Comedy",6.7,67,(2006),"175,549",$155.02M,"$80,000,000 (estimated)",Tim Johnson
Paprika,R,90 min,"Animation, Drama, Fantasy",7.7,81,(2006),"83,514",$0.88M,"¥300,000,000 (estimated)",Satoshi Kon
ParaNorman,PG,92 min,"Animation, Adventure, Comedy",7.0,72,(2012),"102,822",$56.00M,"$60,000,000 (estimated)",Chris Butler
Penguins of Madagascar,PG,92 min,"Animation, Adventure, Comedy",6.6,53,(2014),"91,307",$83.35M,"$132,000,000 (estimated)",Eric Darnell
Persepolis,PG-13,96 min,"Animation, Biography, Drama",8.0,90,(2007),"94,934",$4.45M,"$7,300,000 (estimated)",Vincent Paronnaud
Peter Pan,G,77 min,"Animation, Adventure, Family",7.3,76,(1953),"140,259",$87.40M,"$4,000,000 (estimated)",Clyde Geronimi
Pinocchio,G,88 min,"Animation, Adventure, Comedy",7.5,99,(1940),"147,063",$84.25M,"$2,600,000 (estimated)",Norman Ferguson
Planes,PG,91 min,"Animation, Adventure, Comedy",5.7,39,(2013),"45,603",$90.29M,"$50,000,000 (estimated)",Klay Hall
Planet 51,PG,91 min,"Animation, Adventure, Comedy",6.0,39,(2009),"55,563",$42.09M,"$70,000,000 (estimated)",Jorge Blanco
Pocahontas,G,81 min,"Animation, Adventure, Drama",6.7,58,(I) (1995),"187,426",$141.60M,"$55,000,000 (estimated)",Mike Gabriel
Puss in Boots,PG,90 min,"Animation, Adventure, Comedy",6.6,65,(2011),"159,360",$149.26M,"$130,000,000 (estimated)",Chris Miller
Perfect Blue,R,81 min,"Animation, Crime, Drama",8.0,67,(1997),"76,278",$0.78M,"¥3,000,000 (estimated)",Satoshi Kon
Ralph Breaks the Internet,PG,112 min,"Animation, Adventure, Comedy",7.0,71,(2018),"160,522",$201.09M,"$175,000,000 (estimated)",Phil Johnston
Rango,PG,107 min,"Animation, Action, Adventure",7.2,75,(2011),"265,013",$123.48M,"$135,000,000 (estimated)",Gore Verbinski
Ratatouille,G,111 min,"Animation, Adventure, Comedy",8.1,96,(2007),"728,178",$206.45M,"$150,000,000 (estimated)",Brad Bird
Raya and the Last Dragon,PG,107 min,"Animation, Action, Adventure",7.3,75,(2021),"149,711",,"$54,723,032",Don Hall
Rio,G,96 min,"Animation, Adventure, Comedy",6.9,63,(2011),"227,757",$143.62M,"$90,000,000 (estimated)",Carlos Saldanha
Rio 2,G,101 min,"Animation, Adventure, Comedy",6.3,49,(2014),"90,883",$131.54M,"$103,000,000 (estimated)",Carlos Saldanha
Rise of the Guardians,PG,97 min,"Animation, Action, Adventure",7.2,58,(2012),"175,230",$103.41M,"$145,000,000 (estimated)",Peter Ramsey
Robin Hood,G,83 min,"Animation, Adventure, Comedy",7.5,57,(1973),"127,675",$32.06M,"$5,000,000 (estimated)",Wolfgang Reitherman
Robots,PG,91 min,"Animation, Adventure, Comedy",6.4,64,(2005),"147,873",$128.20M,"$75,000,000 (estimated)",Chris Wedge
Ron's Gone Wrong,PG,107 min,"Animation, Adventure, Comedy",7.0,65,(2021),"33,562",,"$23,009,270",Sarah Smith
Lupin III: The Castle of Cagliostro,,102 min,"Animation, Action, Adventure",7.6,72,(1979),"30,970",,"¥5,000,000,000 (estimated)",Hayao Miyazaki
Summer Wars,PG,114 min,"Animation, Action, Adventure",7.4,63,(2009),"29,789",$0.08M,"$80,768",Mamoru Hosoda
Sausage Party,R,89 min,"Animation, Adventure, Comedy",6.1,66,(2016),"194,652",$97.69M,"$19,000,000 (estimated)",Greg Tiernan
Scoob!,PG,93 min,"Animation, Adventure, Comedy",5.6,43,(2020),"26,837",$2.19M,"$2,188,425",Tony Cervone
Spirited Away,PG,125 min,"Animation, Adventure, Family",8.6,96,(2001),"753,590",$10.06M,"$19,000,000 (estimated)",Hayao Miyazaki
Millennium Actress,PG,87 min,"Animation, Drama, Fantasy",7.8,70,(2001),"28,284",$0.19M,"$262,891",Satoshi Kon
Shark Tale,PG,90 min,"Animation, Adventure, Comedy",6.0,48,(2004),"183,552",$160.86M,"$75,000,000 (estimated)",Bibo Bergeron
Shaun the Sheep Movie,PG,85 min,"Animation, Adventure, Comedy",7.3,81,(2015),"40,935",$19.38M,"$25,000,000 (estimated)",Mark Burton
Neon Genesis Evangelion: The End of Evangelion,TV-MA,87 min,"Animation, Action, Drama",8.0,,(1997),"54,716",,"$42,214",Hideaki Anno
Shrek,PG,90 min,"Animation, Adventure, Comedy",7.9,84,(2001),"672,207",$267.67M,"$60,000,000 (estimated)",Andrew Adamson
Shrek 2,PG,93 min,"Animation, Adventure, Comedy",7.3,75,(2004),"460,949",$436.47M,"$150,000,000 (estimated)",Andrew Adamson
Shrek Forever After,PG,93 min,"Animation, Adventure, Comedy",6.3,58,(2010),"204,723",$238.37M,"$165,000,000 (estimated)",Mike Mitchell
Shrek the Third,PG,93 min,"Animation, Adventure, Comedy",6.1,58,(2007),"306,380",$320.71M,"$160,000,000 (estimated)",Chris Miller
